월,제품,판매수량,매출액
1월,베이직,11,108900
1월,프리미엄,43,1277100
1월,엔터프라이즈,32,3168000
2월,베이직,27,267300
2월,프리미엄,51,1514700
2월,엔터프라이즈,55,5445000
3월,베이직,25,247500
3월,프리미엄,32,950400
3월,엔터프라이즈,43,4257000
4월,베이직,37,366300
4월,프리미엄,12,356400
4월,엔터프라이즈,29,2871000
5월,베이직,41,405900
5월,프리미엄,17,504900
5월,엔터프라이즈,21,2079000
6월,베이직,7,69300
6월,프리미엄,50,1485000
6월,엔터프라이즈,32,3168000
7월,베이직,5,49500
7월,프리미엄,38,1128600
7월,엔터프라이즈,56,5544000
8월,베이직,39,386100
8월,프리미엄,48,1425600
8월,엔터프라이즈,51,5049000
9월,베이직,52,514800
9월,프리미엄,52,1544400
9월,엔터프라이즈,47,4653000
10월,베이직,17,168300
10월,프리미엄,28,831600
10월,엔터프라이즈,32,3168000
11월,베이직,9,89100
11월,프리미엄,47,1395900
11월,엔터프라이즈,26,2574000
12월,베이직,44,435600
12월,프리미엄,25,742500
12월,엔터프라이즈,47,4653000
