날짜,항목,금액,결제수단,비고
2025-05-01,도서비,33000,법인카드,
2025-05-02,사무용품,50000,법인카드,
2025-05-03,도서비,28000,개인카드,
2025-05-04,접대비,125000,법인카드,
2025-05-05,식대,8500,현금,
2025-05-06,교통비,13000,현금,
2025-05-07,통신비,56000,현금,
2025-05-08,교통비,12000,법인카드,
2025-05-09,접대비,121000,현금,
2025-05-10,소모품,16000,법인카드,
2025-05-11,소모품,20000,현금,
2025-05-12,식대,9500,현금,
2025-05-13,도서비,29000,현금,
2025-05-14,접대비,120000,현금,
2025-05-15,소모품,16000,법인카드,
2025-05-16,도서비,29000,현금,
2025-05-17,사무용품,50000,법인카드,
2025-05-18,식대,13500,개인카드,
2025-05-19,식대,8500,현금,
2025-05-20,소모품,16000,개인카드,
2025-05-21,교통비,12000,현금,
2025-05-22,소모품,20000,현금,
2025-05-23,사무용품,45000,개인카드,
2025-05-24,교통비,17000,개인카드,
2025-05-25,접대비,121000,현금,
2025-05-26,소모품,20000,개인카드,
2025-05-27,접대비,120000,현금,
2025-05-28,도서비,29000,개인카드,
